연번,기업명,전화번호,주소,산업분류
31,해영정공,031-351-9670,,"탭, 밸브 및 유사 장치 제조업"
32,(주)세풍폴리머,031-354-0941,경기도 화성시 만세구 양감면 사창리 66-5,기타 플라스틱 발포 성형제품 제조업
33,한솔제지(주)화성사업소,031-8047-6361,경기도 화성시 만세구 양감면 신왕리 11-3,"라이터, 연소물 및 흡연용품 제조업"
34,(HS)테크,,경기도 화성시 만세구 새솔동 22,그 외 기타 달리 분류되지 않은 운송장비 제조업
35,협성로링,031-298-4741,경기도 화성시 효행구 봉담읍 당하리 213-2,그 외 금속 파스너 및 나사제품 제조업
36,씨제트테크,,경기도 화성시 만세구 남양읍 온석리 84-33,강관 제조업
37,키네오토,,경기도 화성시 만세구 향남읍 증거리 357-11,자동차용 신품 전기장치 제조업
38,지성테크,,경기도 화성시 만세구 양감면 사창리 310-1,기타 기계·장비 조립용 플라스틱제품 제조업
39,대진화학 금형사업부,031-278-3260,경기도 화성시 효행구 봉담읍 상기리 422-6,주형 및 금형 제조업
40,예스특장,031-366-2372,경기도 화성시 만세구 팔탄면 덕우리 191,차체 및 특장차 제조업
41,(주)오토다임,031-351-8721,경기도 화성시 만세구 장안면 독정리 40-7,자동차용 금속 압형제품 제조업
42,JP이엔지,031-406-6804,경기도 화성시 만세구 남양읍 무송리 285-1,가정용 및 산업용 공기 조화장치 제조업
43,(주)화진이엔지,031-357-7071,경기도 화성시 만세구 송산면 육일리 356,산업 처리공정 제어장비 제조업
44,세진미디어,031-226-4872,경기도 화성시 병점구 진안동 919-12,기타 일반 기계 및 장비 수리업
45,디자인공작소,,경기도 화성시 병점구 진안동 924-1,기타 인쇄업
46,(주)태성정밀,,경기도 화성시 만세구 양감면 요당리 7-8,반도체 제조용 기계 제조업
47,(주) 오션시스템,031-232-4116,경기도 화성시 동탄구 능동 1100-3,그 외 자동차용 신품 부품 제조업
48,장안철공소,031-358-1332,경기도 화성시 만세구 장안면 장안리 1075-86,기타 일반 기계 및 장비 수리업
49,만나고추기름집,031-221-5758,경기도 화성시 병점구 송산동 100-59,천연 및 혼합 조제 조미료 제조업
50,주식회사 와이큐폼스틸,,경기도 화성시 만세구 양감면 대양리 720-1,육상 금속 골조 구조재 제조업
51,백남옥손만두,,경기도 화성시 효행구 봉담읍 동화리 580,기타 식사용 가공처리 조리식품 제조업
52,주식회사비에스에코앤모어,,경기도 화성시 만세구 송산면 칠곡리 216-3,기체 펌프 및 압축기 제조업
53,동주산업,031-354-8330,경기도 화성시 만세구 향남읍 구문천리 923-2,반도체 제조용 기계 제조업
54,휴라움休RAUM,,경기도 화성시 만세구 팔탄면 구장리 194-9,기타 목재 가구 제조업
55,제이제이컴퍼니,031-366-3226,경기도 화성시 동탄구 영천동 823-2,화장품 제조업
56,유환정밀,02-2616-8011,경기도 화성시 만세구 팔탄면 율암리 580-10,주형 및 금형 제조업
57,케이앤제이 코리아(K&J korea),031-354-7863,경기도 화성시 만세구 향남읍 상신리 430,포장용 플라스틱 성형용기 제조업
58,반도공영(주),031-491-5054,경기도 화성시 만세구 향남읍 구문천리 930-2,기타 물품 취급장비 제조업
59,누리스틸,031-684-9305,경기도 화성시 만세구 양감면 요당리 103,절삭 가공 및 유사 처리업
60,포슬포슬,,경기도 화성시 만세구 새솔동 76-12,떡류 제조업
61,와이밀,,경기도 화성시 만세구 양감면 송산리 777,주형 및 금형 제조업
62,진영기계,031-227-3542,경기도 화성시 효행구 봉담읍 덕우리 179,유압 기기 제조업
63,세명정밀,031-375-3580,경기도 화성시 효행구 비봉면 양노리 707-25,그 외 기타 일반 목적용 기계 제조업
64,주식회사 일진프로파일,031-352-9807,경기도 화성시 효행구 정남면 용수리 57-5,"알루미늄 압연, 압출 및 연신제품 제조업"
65,대경에스티,031-366-7238,경기도 화성시 만세구 팔탄면 하저리 871-2,건설용 석제품 제조업
66,가나안,,경기도 화성시 병점구 기산동 478,종이 포대 및 가방 제조업
67,인기테크,,경기도 화성시 효행구 정남면 신리 259-10,액정 표시장치 제조업
68,한빛산업,031-409-0111,경기도 화성시 만세구 남양읍 남양리 796,"라이터, 연소물 및 흡연용품 제조업"
69,성산테크(주),031-354-8927,경기도 화성시 만세구 팔탄면 율암리 112-11,윤활유 및 그리스 제조업
70,（주）태성기계,031-355-8952,경기도 화성시 만세구 남양읍 북양리 506-41,그 외 기타 특수 목적용 기계 제조업
71,(주)한진기술,031-366-7374,경기도 화성시 만세구 마도면 송정리 467-14,절삭 가공 및 유사 처리업
72,인터라온,,경기도 화성시 동탄구 영천동 848-1,자동차용 신품 제동장치 제조업
73,(주) 애드랜드,031-232-1251,경기도 화성시 병점구 진안동 862-8,간판 및 광고물 제조업
74,명선테크,,경기도 화성시 병점구 반정동 124-24,절삭 가공 및 유사 처리업
75,솔로몬 테크,031-8077-9102,경기도 화성시 만세구 장안면 독정리 698-29,액체 여과기 제조업
76,진성기계,02-2268-9301,경기도 화성시 만세구 팔탄면 율암리 165-5,절삭 가공 및 유사 처리업
77,와이엘티 주식회사,031-352-2218,경기도 화성시 만세구 양감면 송산리 748-8,육상 금속 골조 구조재 제조업
78,HAN-E F·A,031-224-9511,경기도 화성시 병점구 진안동 139-2,배전반 및 전기 자동제어반 제조업
79,주식회사 미르테크놀로지,,경기도 화성시 만세구 양감면 송산리 258-43,"산업용 오븐, 노 및 노용 버너 제조업"
80,우성샤링,,경기도 화성시 효행구 정남면 문학리 362,그 외 기타 1차 철강 제조업
81,신화이지스,031-358-7551,경기도 화성시 만세구 우정읍 화산리 364-7,사무용 기계 및 장비 제조업
82,주식회사오투웨이,031-495-0670,경기도 화성시 만세구 마도면 송정리 506-46,"산소, 질소 및 기타 산업용 가스 제조업"
83,우리SnG,,경기도 화성시 효행구 정남면 귀래리 209-10,그 외 기타 유리제품 제조업
84,디오시스템,031-5183-4994,경기도 화성시 동탄구 영천동 832-2,배전반 및 전기 자동제어반 제조업
85,엘피스일렉트로닉스,,경기도 화성시 병점구 병점동 820,반도체 제조용 기계 제조업
86,베럴유betterU,,경기도 화성시 동탄구 영천동 836-1,기타 가정용 전기 기기 제조업
87,미래케이디케이,,경기도 화성시 만세구 팔탄면 해창리 259-11,발광 다이오드 제조업
88,이모션,031-8019-8550,경기도 화성시 효행구 봉담읍 동화리 564,전기회로 접속장치 제조업
89,에이엔알ANR,031-366-9375,경기도 화성시 만세구 송산면 마산리 290-18,산업 처리공정 제어장비 제조업
90,(주)엔씨테크,,경기도 화성시 만세구 남양읍 온석리 260-1,그 외 기타 전자 부품 제조업
91,금빈섬유,031-354-3847,경기도 화성시 만세구 양감면 요당리 19-8,날염 가공업
92,아이비코퍼레이션,032-468-2897,경기도 화성시 만세구 마도면 청원리 233-4,전시용 모형 제조업
93,다온테크,,경기도 화성시 동탄구 영천동 873-4,전자 부품 실장기판 제조업
94,주식회사 씨앤에프,031-297-0412,경기도 화성시 만세구 양감면 사창리 1121,가정용 및 산업용 공기 조화장치 제조업
95,주식회사 유와이테크,,경기도 화성시 효행구 봉담읍 세곡리 39-7,구조용 금속 판제품 및 공작물 제조업
96,(주)화천기업,,경기도 화성시 만세구 팔탄면 서근리 7-28,"금속 문, 창, 셔터 및 관련제품 제조업"
97,(주)에이피피,031-373-5956,경기도 화성시 동탄구 방교동 846-3,디스플레이 제조용 기계 제조업
98,앰투테크 유한회사,031-8059-3199,경기도 화성시 효행구 정남면 계향리 563-1,절삭 가공 및 유사 처리업
99,덕우정밀,031-236-6624,경기도 화성시 병점구 반정동 202-3,절삭 가공 및 유사 처리업
100,(주)솔옵토,,경기도 화성시 동탄구 영천동 835-1,광학 렌즈 및 광학 요소 제조업
101,피닉스테크,,경기도 화성시 만세구 남양읍 신남리 1185-1,그 외 기타 의료용 기기 제조업
102,디지탈텍,031-225-8561,경기도 화성시 병점구 안녕동 180-601,"전자기 측정, 시험 및 분석 기구 제조업"
103,도원테크,,경기도 화성시 효행구 정남면 덕절리 113-1,주형 및 금형 제조업
104,그린테크,,경기도 화성시 병점구 기산동 421-2,그 외 기타 금속 가공업
105,기성테크,,경기도 화성시 효행구 봉담읍 덕우리 186-19,자동차용 신품 조향장치 및 현가장치 제조업
106,나은ENG,,경기도 화성시 만세구 남양읍 북양리 509-2,기타 가공 공작기계 제조업
107,비앤지,031-224-1200,경기도 화성시 만세구 장안면 석포리 687-87,주방용 및 음식점용 목재 가구 제조업
108,대성기연*,031-8059-0652,경기도 화성시 만세구 양감면 용소리 438-30,가정용 및 산업용 공기 조화장치 제조업
109,UPIR,,경기도 화성시 만세구 남양읍 북양리 77-13,"전기회로 개폐, 보호 장치 제조업"
110,현대중기공업사,,경기도 화성시 병점구 황계동 140-9,건설 및 채광용 기계장비 제조업
111,인바이트팩토리,,경기도 화성시 효행구 정남면 용수리 58-65,절삭 가공 및 유사 처리업
112,（주)청원기연,,경기도 화성시 만세구 장안면 독정리 599-15,기타 물품 취급장비 제조업
113,조이일렉,,경기도 화성시 동탄구 반송동 103-3,전자 감지장치 제조업
114,혜민정공,,경기도 화성시 만세구 남양읍 무송리 131-53,주형 및 금형 제조업
115,성일테크,,경기도 화성시 병점구 반정동 319-3,전자 응용 절삭기계 제조업
116,(주)비바*  1공장,031-377-3057,경기도 화성시 효행구 정남면 덕절리 333-9,기타 반도체 소자 제조업
117,우리테크,,경기도 화성시 만세구 팔탄면 고주리 15-15,주형 및 금형 제조업
118,주식회사 보국하이테크,032-684-2676,경기도 화성시 만세구 팔탄면 서해로 1155,"탭, 밸브 및 유사 장치 제조업"
119,그리프GLEAPCOLTD,,경기도 화성시 병점구 안녕동 180-711,기타 운동 및 경기용구 제조업
120,에떼르네쥬,,경기도 화성시 동탄구 반송동 157-12,기타 일반 도자기 제조업
121,(주)삼화산업* 2공장화성*,,경기도 화성시 만세구 남양읍 온석리 399-57,산업용 그 외 비경화 고무제품 제조업
122,팔테크,031-377-4087,경기도 화성시 만세구 팔탄면 하저리 546-1,무인 항공기 및 무인 비행장치 제조업
123,에코그린테크,031-410-2277,경기도 화성시 만세구 새솔동 76-1,"금속 문, 창, 셔터 및 관련제품 제조업"
124,태현프라텍,031-352-6844,경기도 화성시 만세구 양감면 정문리 503-1,포장용 플라스틱 성형용기 제조업
125,주식회사 수영피엔에스,031-499-2200,경기도 화성시 만세구 우정읍 이화리 384-1,골판지 상자 및 가공제품 제조업
126,엠.제이.테크(주)2공장,031-278-3838,경기도 화성시 효행구 봉담읍 분천리 239-71,기타 가공 공작기계 제조업
127,병점떡전거리,031-238-5608,경기도 화성시 병점구 진안동 524-23,떡류 제조업
128,하이스킨,,경기도 화성시 만세구 향남읍 하길리 1411-5,기타 직물제품 제조업
129,두다DUDA,,경기도 화성시 병점구 기산동 476,"치약, 비누 및 기타 세제 제조업"
130,이아이씨티코리아 주식회사,070-5101-4880,경기도 화성시 동탄구 석우동 20-16,접착제 및 젤라틴 제조업
131,포트론,,경기도 화성시 동탄구 능동 1064-5,일반용 전기 조명장치 제조업
132,네오텍,,경기도 화성시 동탄구 방교동 798-13,절삭 가공 및 유사 처리업
133,엠앤텍,031-297-0618,경기도 화성시 효행구 봉담읍 당하리 44-2,사무용 기계 및 장비 제조업
134,탬,031-377-2684,경기도 화성시 효행구 정남면 음양리 404-1,절삭 가공 및 유사 처리업
135,(주)두원냉기화성공장,031-8077-8002,경기도 화성시 만세구 양감면 사창리 54-10,그 외 자동차용 신품 부품 제조업
136,세방신소재,050-7141-2869,경기도 화성시 만세구 향남읍 길성리 474-3,정형 내화 요업제품 제조업
137,조형테크,,경기도 화성시 만세구 향남읍 하길리 631-4,주형 및 금형 제조업
138,너드(NERD),,경기도 화성시 효행구 봉담읍 유리 113-1,절삭 가공 및 유사 처리업
139,우진씨앤씨,,경기도 화성시 만세구 팔탄면 구장리 2-7,주형 및 금형 제조업
140,동방노보펌(주) 화성지점,031-354-7800,경기도 화성시 만세구 장안면 수촌리 1028-23,"금속 문, 창, 셔터 및 관련제품 제조업"
141,정진정밀,,경기도 화성시 만세구 향남읍 길성리 353,절삭 가공 및 유사 처리업
142,（주） 청정두리,031-374-9906,경기도 화성시 만세구 양감면 정문리 504-9,곡물 제분업
143,피코테크,,경기도 화성시 만세구 향남읍 송곡리 175,그 외 기타 전기장비 제조업
144,주식회사 아이에스산업,031-366-1371,경기도 화성시 만세구 팔탄면 노하리 621-12,그 외 금속 파스너 및 나사제품 제조업
145,237신영테크,,경기도 화성시 만세구 향남읍 관리 241-1,철도 차량 부품 및 관련 장치물 제조업
146,가야생명과학,02-2261-1177,경기도 화성시 동탄구 영천동 652-4,배합 사료 제조업
147,에이치에스엠,,경기도 화성시 병점구 병점동 379-10,반도체 제조용 기계 제조업
148,주식회사동광에칭,031-352-0600,경기도 화성시 만세구 팔탄면 구장리 949-3,주형 및 금형 제조업
149,소연상사,,경기도 화성시 효행구 기안동 895,기타 기계·장비 조립용 플라스틱제품 제조업
150,주식회사 피에스디이엔지 오산공장,,경기도 화성시 만세구 양감면 사창리 371-9,전자 감지장치 제조업
151,영광토브주식회사,031-298-7520,경기도 화성시 효행구 봉담읍 덕우리 161-46,강관 가공품 및 관 연결구류 제조업
152,대은,031-366-3656,경기도 화성시 만세구 마도면 청원리 1267,도장 및 기타 피막 처리업
153,주식회사 케이원캐미칼,,경기도 화성시 만세구 우정읍 주곡리 161-245,플라스틱 시트 및 판 제조업
154,주식회사 티에스시,031-213-0892,경기도 화성시 동탄구 방교동 797-4,반도체 제조용 기계 제조업
155,아성,031-297-7365,경기도 화성시 만세구 팔탄면 구장리 37-5,절삭 가공 및 유사 처리업
156,주식회사 금강호이스트앤리프트,031-355-3949,경기도 화성시 만세구 마도면 쌍송리 340-13,기타 물품 취급장비 제조업
157,한국후지이엔지 주식회사,,경기도 화성시 효행구 정남면 계향리 539-3,주방용 전기 기기 제조업
158,장수정밀,031-373-8743,경기도 화성시 동탄구 동탄산단7길 136,"기타 측정, 시험, 항해, 제어 및 정밀 기기 제조업"
159,동해건업,031-366-0870,경기도 화성시 만세구 팔탄면 월문리 63,"금속 문, 창, 셔터 및 관련제품 제조업"
160,주식회사자임,031-689-3639,경기도 화성시 동탄구 영천동 823-6,남자용 겉옷 제조업
161,썬종합광고기획,031-221-7818,경기도 화성시 효행구 봉담읍 와우리 151,간판 및 광고물 제조업
162,주영금속,,경기도 화성시 만세구 장안면 석포리 753-23,그 외 금속 압형제품 제조업
163,준산업주식회사,031-355-0241,경기도 화성시 만세구 팔탄면 월문리 259,그 외 기타 1차 철강 제조업
164,주식회사 신광이엔지,,경기도 화성시 만세구 장안면 독정리 282-4,육상 금속 골조 구조재 제조업
165,라온기술,031-297-6334,경기도 화성시 만세구 양감면 대양리 753-10,절삭 가공 및 유사 처리업
166,월텍,070-8628-3663,경기도 화성시 만세구 팔탄면 율암리 580-10,일반 철물 제조업
167,엠케이알테크,031-352-1846,경기도 화성시 효행구 정남면 발산리 709,고무 패킹류 제조업
168,서진전자,031-366-8755,경기도 화성시 만세구 마도면 청원리 200-2,전기회로 접속장치 제조업
169,주식회사 나오텍크,031-357-6283,경기도 화성시 만세구 마도면 해문리 310,산업 처리공정 제어장비 제조업
170,(주)해성컨테이너,,경기도 화성시 만세구 팔탄면 덕우리 114-85,기타 구조용 금속제품 제조업
171,형제산업,031-366-2190,경기도 화성시 효행구 비봉면 자안리 831-1,포장용 플라스틱 성형용기 제조업
172,기환정공,,경기도 화성시 동탄구 방교동 838-5,그 외 기타 전자 부품 제조업
173,주식회사 랜드켐,,경기도 화성시 동탄구 영천동 844-1,운송장비 조립용 플라스틱제품 제조업
174,(주)에스이씨- 화성,031-461-4560,경기도 화성시 만세구 송산면 지화리 682-4,금속 탱크 및 저장 용기 제조업
175,(주)디에스푸드웰 화성지점,031-342-9948,경기도 화성시 만세구 마도면 송정리 308-1,천연 및 혼합 조제 조미료 제조업
176,주식회사 유지컴퍼니,,경기도 화성시 효행구 정남면 관항리 300-5,과자류 및 코코아 제품 제조업
177,(주)홍우포장시스템,031-354-1753,경기도 화성시 효행구 정남면 귀래리 437-13,포장용 플라스틱 성형용기 제조업
178,대성일렉트로닉스,031-647-0071,경기도 화성시 만세구 향남읍 발안공단로1길 17,전자 부품 실장기판 제조업
179,(주)세한시스템,,경기도 화성시 만세구 우정읍 석천리 1036-1,절삭 가공 및 유사 처리업
180,정석테크,031-406-0231,경기도 화성시 병점구 안녕동 46-18,배전반 및 전기 자동제어반 제조업
181,에이스정공,,경기도 화성시 효행구 정남면 괘랑리 69,그 외 기타 금속 가공업
182,아이씨엠테크주식회사,031-353-9040,경기도 화성시 만세구 장안면 독정리 49-29,위생용 및 산업용 도자기 제조업
183,에이치지,,경기도 화성시 효행구 봉담읍 분천리 287,배전반 및 전기 자동제어반 제조업
184,금곡기업,031-376-4946,경기도 화성시 동탄구 금곡동 139,금속 캔 및 기타 포장용기 제조업
185,(주)크라텍,031-355-7586,경기도 화성시 만세구 우정읍 호곡리 216-2,기타 목재 가구 제조업
186,(주)에이치티에스,031-376-2030,경기도 화성시 만세구 향남읍 동오리 45-5,반도체 제조용 기계 제조업
187,주식회사 은성정밀,031-8047-0078,경기도 화성시 만세구 팔탄면 서근리 205-7,자동차 엔진용 신품 부품 제조업
188,(주)신성씨스템,031-358-8837,경기도 화성시 만세구 우정읍 주곡리 196-10,기관차 및 기타 철도 차량 제조업
189,제이이 엔지니어링,,경기도 화성시 만세구 향남읍 동오리 58-2,절삭 가공 및 유사 처리업
190,엠에스티엔티,031-8002-0077,경기도 화성시 동탄구 동탄대로5길 15,산업용 난방보일러 및 방열기 제조업
191,한성머쉬너리HANSUNGMACHINERYCoLtd,,경기도 화성시 만세구 남양읍 온석리 291-29,그 외 기타 특수 목적용 기계 제조업
192,제이원티앤에이,,경기도 화성시 효행구 정남면 내리 181,산업 처리공정 제어장비 제조업
193,(주)이엔지,031-355-4934,경기도 화성시 만세구 장안면 석포리 687-25,볼트 및 너트류 제조업
194,(주)삼우*,031-355-9905,경기도 화성시 만세구 남양읍 무송리 191-15,주형 및 금형 제조업
195,우성정밀,,경기도 화성시 만세구 팔탄면 노하리 760-10,주형 및 금형 제조업
196,현경테크놀로지,02-2279-0261,경기도 화성시 만세구 송산면 지화리 682-7,인쇄 및 제책용 기계 제조업
197,태산호이스트,,경기도 화성시 만세구 양감면 대양리 512,건설·광업용 기계 및 장비 수리업
198,CC정밀,031-906-9818,경기도 화성시 효행구 정남면 음양리 645-9,절삭 가공 및 유사 처리업
199,케이에스,031-8059-2920,경기도 화성시 만세구 팔탄면 해창리 143-5,기타 비철금속 주조업
200,위글루,070-7799-2683,경기도 화성시 동탄구 영천동 652-4,접착제 및 젤라틴 제조업
201,동신테크,,경기도 화성시 효행구 봉담읍 덕우리 186-19,기타 반도체 소자 제조업
202,(주)영성멀티텍,031-378-7378,경기도 화성시 효행구 정남면 귀래리 449-15,절삭 가공 및 유사 처리업
203,명성ENG,031-366-2846,경기도 화성시 만세구 팔탄면 율암리 430-32,주형 및 금형 제조업
204,에스테크,031-353-6043,경기도 화성시 만세구 팔탄면 창곡리 291-2,주형 및 금형 제조업
205,대신에이티 주식회사,031-353-9704,경기도 화성시 만세구 양감면 신왕리 764-11,철도 차량 부품 및 관련 장치물 제조업
206,우진인더스트리,062-225-5151,경기도 화성시 만세구 양감면 요당리 734-13,배전반 및 전기 자동제어반 제조업
207,조원실업,,경기도 화성시 만세구 송산면 사강리 188-2,차체 및 특장차 제조업
208,주식회사 정진메탈,031-319-2323,경기도 화성시 만세구 마도면 쌍송리 409-6,금속 단조제품 제조업
209,본앤푸드코리아,031-366-1992,경기도 화성시 효행구 정남면 괘랑리 365,육류 기타 가공 및 저장 처리업(가금류 제외)
210,주식회사코아티앤티,031-355-1802,경기도 화성시 만세구 송산면 사강리 135-2,반도체 제조용 기계 제조업
211,신진메디칼,031-223-3655,경기도 화성시 병점구 반정동 115-7,절삭 가공 및 유사 처리업
212,비엠테크,,경기도 화성시 효행구 정남면 용수리 67-22,주형 및 금형 제조업
213,태강,,경기도 화성시 만세구 양감면 용소리 851-2,자동차 차체용 신품 부품 제조업
214,한울테크,,경기도 화성시 만세구 장안면 수촌리 149-6,승강기 제조업
215,케이오제이테크(주),031-355-9636,경기도 화성시 만세구 송산면 중송리 577-1,금속선 가공제품 제조업
216,신보산업,031-353-6780,경기도 화성시 효행구 정남면 신리 140,그 외 기타 일반 목적용 기계 제조업
217,금파정밀,,경기도 화성시 효행구 봉담읍 덕우리 186-19,그 외 자동차용 신품 부품 제조업
218,육일산업,031-356-8560,경기도 화성시 만세구 서신면 광평리 351-2,그 외 기타 고무제품 제조업
219,현양정밀,,경기도 화성시 만세구 팔탄면 구장리 946-3,음·식료품 및 담배 가공기계 제조업
220,(주)새한이노테크,031-245-2415,경기도 화성시 효행구 비봉면 자안리 582-2,금속 표시판 제조업
221,미강산업,,경기도 화성시 만세구 양감면 대양리 753-2,골판지 상자 및 가공제품 제조업
222,(주)아셈텍,031-359-9950,경기도 화성시 만세구 향남읍 구문천리 929-3,자동차용 신품 제동장치 제조업
223,서진TNS,031-357-8911,경기도 화성시 만세구 서신면 용두리,건설 및 채광용 기계장비 제조업
224,지오(GO),,경기도 화성시 동탄구 장지동 1009,그 외 기타 전자 부품 제조업
225,두성플라텍,031-233-1302,경기도 화성시 효행구 봉담읍 동화리 139-1,합성수지 및 기타 플라스틱 물질 제조업
226,(주)신안테크,031-235-6181,경기도 화성시 효행구 정남면 망월리 232-20,절삭 가공 및 유사 처리업
227,태광산업,031-222-7510,경기도 화성시 효행구 정남면 용수리 75-29,기타 반도체 소자 제조업
228,신세기시스템(주),031-684-1540,경기도 화성시 만세구 향남읍 화리현리 258-18,"물질 검사, 측정 및 분석 기구 제조업"
229,신우이엔지,,경기도 화성시 만세구 마도면 해문리 387-9,산업용 냉장 및 냉동장비 제조업
230,흥부산업,,경기도 화성시 만세구 양감면 요당리 334,금속 단조제품 제조업
231,한국산업개발공사,031-354-2741,경기도 화성시 효행구 정남면 계향리 451-7,절삭 가공 및 유사 처리업
232,포세일즈,,경기도 화성시 동탄구 영천동 873-2,기타 무선 통신장비 제조업
233,지수테크,031-354-0264,경기도 화성시 만세구 양감면 사창리 682-1,주형 및 금형 제조업
234,정도레이저,,경기도 화성시 만세구 마도면 청원리 225-1,절삭 가공 및 유사 처리업
235,(주)에이엘텍,031-352-6189,경기도 화성시 효행구 정남면 괘랑리 518-6,기타 가공 공작기계 제조업
236,D&M SOFA,031-225-0222,경기도 화성시 효행구 기안동 201-1,소파 및 기타 내장 가구 제조업
237,LSS,,경기도 화성시 만세구 장안면 수촌리 297-1,그 외 기타 의료용 기기 제조업
238,디에스피,031-8059-7781,경기도 화성시 만세구 양감면 신왕리 852-9,도장 및 기타 피막 처리업
239,(주)자여 화성공장,031-355-3843,경기도 화성시 만세구 마도면 청원리 1460,자동차 엔진용 신품 부품 제조업
240,지산테크,,경기도 화성시 만세구 마도면 청원리 1309,자동차 엔진용 신품 부품 제조업
241,(주)인광테크,031-831-3957,경기도 화성시 병점구 안녕동 180-671,일반용 전기 조명장치 제조업
242,태드솔루션,031-358-6148,경기도 화성시 동탄구 여울동 975,플라스틱 접착처리 제품 제조업
243,알파테크,031-223-3445,경기도 화성시 효행구 정남면 괘랑리 870-10,반도체 제조용 기계 제조업
244,마아메카트로닉스,031-223-6683,경기도 화성시 효행구 배양동 35-8,절삭 가공 및 유사 처리업
245,세일크린택,031-227-8243,경기도 화성시 효행구 봉담읍 덕리 293-1,위생용 종이제품 제조업
246,퀀텀닷,,경기도 화성시 동탄구 영천동 825-1,전기회로 접속장치 제조업
247,파워전력,031-278-1416,경기도 화성시 효행구 매송면 천천리 237-2,"전기회로 개폐, 보호 장치 제조업"
248,정윤플랜트,031-683-2908,경기도 화성시 만세구 서신면 송교리 42-72,그 외 기타 금속 가공업
249,일진이엔지,031-352-6440,경기도 화성시 만세구 우정읍 화산리 699-1,"박판, 합판 및 유사 적층판 제조업"
250,새천년광고,070-5224-9191,경기도 화성시 동탄구 영천동 832-2,간판 및 광고물 제조업
251,유성엔지니어링,031-548-4858,경기도 화성시 만세구 팔탄면 서근리 45-10,주형 및 금형 제조업
