명칭,도로명주소,단지분류,동수,세대수,면적(제곱미터),관리사무소연락처,관리기관,관리자 연락처,데이터기준일
능동역경남아너스빌,경기도 화성시 동탄구 동탄숲속로 69,아파트,6,455,,031-8003-2072,동탄구 도시건축과,031-5189-6740,2026-07-01
서동탄역파크자이,경기도 화성시 병점구 서동탄로 53,아파트,11,982,,031-898-6345,병점구 도시건축과,031-5189-4236,2026-07-01
서동탄역파크자이2차,경기도 화성시 병점구 서동탄로 11,아파트,5,376,,031-226-8961,병점구 도시건축과,031-5189-4236,2026-07-01
서동탄역 양우내안애,경기도 화성시 병점구 서동탄로 71,아파트,6,447,,031-8003-0994,병점구 도시건축과,031-5189-4236,2026-07-01
호반베르디움센트럴포레,경기도 화성시 동탄구 동탄신리천로1길 74,아파트,22,1695,,031-373-7215,동탄구 도시건축과,031-5189-6759,2026-07-01
동탄2 르파비스,경기도 화성시 동탄구 동탄순환대로20길 115,아파트,10,876,,031-372-4471,동탄구 도시건축과,031-5189-6759,2026-07-01
호반베르디움22단지,경기도 화성시 동탄구 동탄순환대로 20길 104,아파트,10,746,,031-377-6657,동탄구 도시건축과,031-5189-6759,2026-07-01
동탄금강펜테리움센트럴파크4,경기도 화성시 동탄구 동탄순환대로20길 45,아파트,18,1195,,031-378-6883,동탄구 도시건축과,031-5189-6759,2026-07-01
e편한세상 동탄,경기도 화성시 동탄구 동탄순환대로20길 31,아파트,19,1526,,031-378-8767,동탄구 도시건축과,031-5189-6759,2026-07-01
동탄2 한신더휴,경기도 화성시 동탄구 동탄순환대로20길 70,아파트 ,11,930,,031-378-2496,동탄구 도시건축과,031-5189-6759,2026-07-01
동탄2신도시베라체,경기도 화성시 동탄구 동탄순환대로20길 13,아파트 ,10,859,,031-376-4090,동탄구 도시건축과,031-5189-6759,2026-07-01
힐스테이트 동탄,경기도 화성시 동탄구 동탄순환대로19길 59,아파트,16,1479,,031-372-5787,동탄구 도시건축과,031-5189-6759,2026-07-01
동탄동원로얄듀크2차,경기도 화성시 동탄구 동탄순환대로19길 21,아파트,8,761,,031-378-1812,동탄구 도시건축과,031-5189-6759,2026-07-01
동탄시범다은마을 메타역 롯데캐슬,경기도 화성시 동탄구 메타폴리스로 22,아파트,6,429,,031-8050-0850,동탄구 도시건축과,031-5189-6749,2026-07-01
시범다은마을포스코더샵,경기도 화성시 동탄구 동탄문화센터로 39,아파트,8,514,,031-613-0202,동탄구 도시건축과,031-5189-6749,2026-07-01
동탄시범한빛마을KCC스위첸,경기도 화성시 동탄구 동탄시범한빛길 38,아파트,6,484,,031-613-3331,동탄구 도시건축과,031-5189-6749,2026-07-01
동탄시범한빛마을아이파크,경기도 화성시 동탄구 동탄지성로 42,아파트,8,748,,031-613-4646,동탄구 도시건축과,031-5189-6749,2026-07-01
시범다은마을삼성래미안,경기도 화성시 동탄구 메타폴리스로 6,아파트,7,514,,031-377-0742,동탄구 도시건축과,031-5189-6749,2026-07-01
동탄금호어울림,경기도 화성시 동탄구 동탄중앙로 213,아파트,5,548,,031-613-6363,동탄구 도시건축과,031-5189-6749,2026-07-01
삼부르네상스,경기도 화성시 동탄구 동탄반석로 207,아파트,10,732,,031-613-6013,동탄구 도시건축과,031-5189-6749,2026-07-01
시범다은마을우남퍼스트빌,경기도 화성시 동탄구 동탄중앙로 171,아파트,8,610,,031-613-1788,동탄구 도시건축과,031-5189-6749,2026-07-01
시범한빛마을한화꿈에그린,경기도 화성시 동탄구 동탄시범한빛길 10,아파트,6,534,,031-613-6208,동탄구 도시건축과,031-5189-6749,2026-07-01
동탄시범다은마을 월드메르디앙 반도유보라,경기도 화성시 동탄구 동탄중앙로 189,아파트,18,1473,,031-613-0351,동탄구 도시건축과,031-5189-6749,2026-07-01
동탄나루마을 동탄역 U.BORA 여울숲 1.0,경기도 화성시 동탄구 동탄반석로 16,아파트,8,568,,031-613-1536,동탄구 도시건축과,031-5189-6749,2026-07-01
솔빛마을쌍용예가,경기도 화성시 동탄구 동탄반석로 71,아파트,14,938,,031-8003-5300,동탄구 도시건축과,031-5189-6749,2026-07-01
솔빛마을신도브래뉴,경기도 화성시 동탄구 동탄반석로 70,아파트,8,584,,031-613-1920,동탄구 도시건축과,031-5189-6749,2026-07-01
나루마을 동탄역 유보라 여울숲2.0(동탄 나루마을 월드메르디앙 반도유보라 2차),경기도 화성시 동탄구 동탄나루로 55,아파트,12,700,,031-613-5596,동탄구 도시건축과,031-5189-6749,2026-07-01
솔빛마을경남아너스빌,경기도 화성시 동탄구 동탄반석로 96,아파트,7,622,,031-613-6531,동탄구 도시건축과,031-5189-6749,2026-07-01
한화우림,경기도 화성시 동탄구 동탄반석로 42,아파트,8,724,,031-613-0972,동탄구 도시건축과,031-5189-6749,2026-07-01
동탄2차한화꿈에그린,경기도 화성시 동탄구 동탄중앙로 51,아파트,10,784,,031-613-2301,동탄구 도시건축과,031-5189-6749,2026-07-01
동탄나루마을신도브래뉴,경기도 화성시 동탄구 동탄반석로 41,아파트,10,809,,031-613-5582,동탄구 도시건축과,031-5189-6749,2026-07-01
솔빛마을서해그랑블,경기도 화성시 동탄구 동탄문화센터로 38,아파트,11,727,,031-613-4051,동탄구 도시건축과,031-5189-6749,2026-07-01
시범다은마을 센트럴파크뷰,경기도 화성시 동탄구 동탄공원로1길 6-59,아파트,6,438,,031-8003-2114,동탄구 도시건축과,031-5189-6749,2026-07-01
동탄우림필유타운하우스,경기도 화성시 동탄구 동탄공원로1길 6-60,연립주택,18,286,,031-8050-9140,동탄구 도시건축과,031-5189-6749,2026-07-01
동탄센트럴포레스트,경기도 화성시 동탄구 동탄중앙로 119-14,아파트,9,503,,031-8015-1041,동탄구 도시건축과,031-5189-6749,2026-07-01
동탄위버폴리스,경기도 화성시 동탄구 동탄지성로 17,주상복합,2,198,,031-8003-4801,동탄구 도시건축과,031-5189-6749,2026-07-01
"동탄메타폴리스(1,2단지 공동관리)",경기도 화성시 동탄구 동탄중앙로 220,주상복합,4,1266,,031-8015-2222,동탄구 도시건축과,031-5189-6749,2026-07-01
동탄파라곤1차,경기도 화성시 동탄구 동탄반석로 172,주상복합,3,278,,031-8015-2185,동탄구 도시건축과,031-5189-6749,2026-07-01
동탄하이페리온,경기도 화성시 동탄구 동탄반석로 156,주상복합,2,180,,031-8015-4360,동탄구 도시건축과,031-5189-6749,2026-07-01
나노시티역 롯데캐슬,경기도 화성시 병점구 효행로 1337-26,아파트,12,999,,031-898-8960,병점구 도시건축과,031-5189-4739,2026-07-01
신영통현대3단지,경기도 화성시 병점구 영통로27번길 35,아파트,11,800,,031-202-9290,병점구 도시건축과,031-5189-4739,2026-07-01
신영통현대1단지,경기도 화성시 병점구 영통로61번길 10,아파트,12,896,,031-273-4038,병점구 도시건축과,031-5189-4739,2026-07-01
신영통현대2단지,경기도 화성시 병점구 영통로27번길 53,아파트,16,1220,,031-306-4441,병점구 도시건축과,031-5189-4739,2026-07-01
신영통현대4단지,경기도 화성시 병점구 영통로27번길 20,아파트,8,576,,031-273-6208,병점구 도시건축과,031-5189-4739,2026-07-01
행림마을삼성래미안2차,경기도 화성시 병점구 동탄지성로 334,아파트,5,264,,031-239-1601,병점구 도시건축과,031-5189-4739,2026-07-01
반달마을두산위브1단지,경기도 화성시 병점구 영통로50번길 27,아파트,11,690,,031-203-8802,병점구 도시건축과,031-5189-4739,2026-07-01
반달마을두산위브2단지,경기도 화성시 병점구 영통로50번길 14,아파트,6,352,,031-273-3316,병점구 도시건축과,031-5189-4739,2026-07-01
반달마을푸르지오,경기도 화성시 병점구 영통로26번길 24,아파트,7,530,,031-203-4153,병점구 도시건축과,031-5189-4739,2026-07-01
신동탄 SK뷰,경기도 화성시 병점구 동탄원천로 382-37,아파트,25,1967,,031-221-1783,병점구 도시건축과,031-5189-4739,2026-07-01
반월자이더파크,경기도 화성시 병점구 동탄지성로 394,아파트,8,468,,031-234-8500,병점구 도시건축과,031-5189-4739,2026-07-01
이편한세상 반월나노시티역,경기도 화성시 병점구 효행로 1337-23,아파트,12,1387,,031-238-0098,병점구 도시건축과,031-5189-4739,2026-07-01
신동탄 포레자이,경기도 화성시 병점구 영통로60번길 31,아파트,12,1297,,031-547-9522,병점구 도시건축과,031-5189-4739,2026-07-01
반정아이파크캐슬4단지아파트,경기도 화성시 병점구 동탄지성로469번길 59,아파트,14,986,,031-205-9365,병점구 도시건축과,031-5189-4236,2026-07-01
반정아이파크캐슬5단지아파트,경기도 화성시 병점구 동탄지성로469번길 60,아파트,20,1378,,031-273-9743,병점구 도시건축과,031-5189-4236,2026-07-01
대창그린,경기도 화성시 병점구 병점2로 15,아파트,7,392,,031-222-7757,병점구 도시건축과,031-5189-4739,2026-07-01
태안주공1단지,경기도 화성시 병점구 병점2로 35,아파트,15,1044,,031-308-3743,병점구 도시건축과,031-5189-4739,2026-07-01
병점한신,경기도 화성시 병점구 병점1로 82,아파트,10,1106,,031-307-3838,병점구 도시건축과,031-5189-4739,2026-07-01
병점신미주,경기도 화성시 병점구 효행로1156번길 22,아파트,6,470,,031-225-6551,병점구 도시건축과,031-5189-4739,2026-07-01
남수원 두산,경기도 화성시 병점구 병점서로 8,아파트,14,694,,031-226-6088,병점구 도시건축과,031-5189-4739,2026-07-01
병점역한일타운,경기도 화성시 병점구 태안로 85,아파트,6,572,,031-223-4489,병점구 도시건축과,031-5189-4739,2026-07-01
병점성호,경기도 화성시 병점구 10용사로 221,아파트,5,594,,031-222-6882,병점구 도시건축과,031-5189-4739,2026-07-01
우남퍼스트빌3차,경기도 화성시 병점구 태안로 50,아파트,9,585,,031-235-9724,병점구 도시건축과,031-5189-4739,2026-07-01
병점역에듀포레,경기도 화성시 병점구 병점2로 78,아파트,9,778,,031-233-1540,병점구 도시건축과,031-5189-4739,2026-07-01
느치미마을태안주공2단지,경기도 화성시 병점구 병점3로 74,아파트,11,649,,031-232-6571,병점구 도시건축과,031-5189-4739,2026-07-01
안화동마을 주공7단지,경기도 화성시 병점구 병점3로 158,아파트,9,742,,031-232-7631,병점구 도시건축과,031-5189-4739,2026-07-01
병점역 센트럴허브시티,경기도 화성시 병점구 병점1로 65,아파트,20,1499,,031-891-0102,병점구 도시건축과,031-5189-4739,2026-07-01
구봉마을우남퍼스트빌,경기도 화성시 병점구 병점동로 23,아파트,5,477,,031-221-8380,병점구 도시건축과,031-5189-4739,2026-07-01
안화동마을 주공5단지,경기도 화성시 병점구 병점2로 103,아파트,7,554,,031-236-4063,병점구 도시건축과,031-5189-4739,2026-07-01
안화마을우남퍼스트빌2차,경기도 화성시 병점구 효행로 1076-9,아파트,8,504,,031-226-4073,병점구 도시건축과,031-5189-4739,2026-07-01
신창2차비바훼밀리,경기도 화성시 병점구 병점2로 102,아파트,9,765,,031-304-3201,병점구 도시건축과,031-5189-4739,2026-07-01
병점역센트럴뷰,경기도 화성시 병점구 병점3로 88,아파트,8,498,,031-225-2158,병점구 도시건축과,031-5189-4739,2026-07-01
안화동마을 주공9단지,경기도 화성시 병점구 병점3로 117,아파트,9,786,,031-223-3072,병점구 도시건축과,031-5189-4739,2026-07-01
다정마을 병점역 신한에스빌 1단지,경기도 화성시 병점구 병점3로 53,아파트,10,469,,031-222-0697,병점구 도시건축과,031-5189-4739,2026-07-01
신한에스빌다정마을2단지,경기도 화성시 병점구 병점3로 54,아파트,3,194,,031-224-2873,병점구 도시건축과,031-5189-4739,2026-07-01
임광그대가,경기도 화성시 병점구 병점중앙로21번길 26,아파트,6,316,,031-236-8655,병점구 도시건축과,031-5189-4739,2026-07-01
병점SK뷰,경기도 화성시 병점구 경기대로 990,주상복합,6,228,,031-236-7888,병점구 도시건축과,031-5189-4739,2026-07-01
병점효성해링턴플레이스,경기도 화성시 병점구 떡전골로 60,주상복합,5,231,,031-898-5414,병점구 도시건축과,031-5189-4739,2026-07-01
병점역 양우내안애,경기도 화성시 병점구 병점중앙로21번길 32,아파트,4,268,,031-898-9046,병점구 도시건축과,031-5189-4739,2026-07-01
병점역 아이파크캐슬,경기도 화성시 병점구 병점노을로 31,아파트,27,2666,,031-267-0597,병점구 도시건축과,031-5189-4739,2026-07-01
e편한세상 신봉담,경기도 화성시 효행구 봉담읍 상리1길 127,아파트,7,898,102712.0,031-298-9342,효행구 도시건축과,031-5189-7709,2026-07-01
기산베스트빌,경기도 화성시 효행구 봉담읍 유리마을길 79,아파트,5,408,44302.0,031-297-7192,효행구 도시건축과,031-5189-7709,2026-07-01
다온마을쌍용스윗닷홈,경기도 화성시 효행구 봉담읍 와우로34번길 30,아파트,19,767,88939.0,031-221-4527,효행구 도시건축과,031-5189-7709,2026-07-01
동화마을신동아파밀리에,경기도 화성시 효행구 봉담읍 동화새터길 55-39,아파트,9,699,117405.0,031-227-0806,효행구 도시건축과,031-5189-7709,2026-07-01
봉담그대가3단지,경기도 화성시 효행구 봉담읍 와우로15번길 10,아파트,19,1036,170060.0,031-222-1407,효행구 도시건축과,031-5189-7709,2026-07-01
봉담동문굿모닝힐,경기도 화성시 효행구 봉담읍 상봉길 35-10,아파트,6,442,65369.0,031-298-3845,효행구 도시건축과,031-5189-7709,2026-07-01
봉담동일하이빌,경기도 화성시 효행구 봉담읍 동화길 82,아파트,9,750,168984.0,031-278-1575,효행구 도시건축과,031-5189-7709,2026-07-01
봉담비바패밀리1단지,경기도 화성시 효행구 봉담읍 수영로 61-14,아파트,13,766,139176.0,031-291-7151,효행구 도시건축과,031-5189-7709,2026-07-01
봉담센트럴푸르지오,경기도 화성시 효행구 봉담읍 와우로 34번길 12,아파트,12,1265,180233.0,031-224-1265,효행구 도시건축과,031-5189-7709,2026-07-01
봉담신명,경기도 화성시 효행구 봉담읍 와우로34번길 63,아파트,5,488,53523.0,031-226-1121,효행구 도시건축과,031-5189-7709,2026-07-01
봉담신일해피트리2차,경기도 화성시 효행구 봉담읍 효행로 370-6,아파트,7,500,,031-226-4542,효행구 도시건축과,031-5189-7709,2026-07-01
봉담신창비바패밀리2단지,경기도 화성시 효행구 봉담읍 수영로82번길 4,아파트,6,444,73863.0,031-291-0667,효행구 도시건축과,031-5189-7709,2026-07-01
봉담아이파크,경기도 화성시 효행구 봉담읍 와우로34번길 11,아파트,8,829,146686.0,031-222-8134,효행구 도시건축과,031-5189-7709,2026-07-01
봉담임광그대가1단지,경기도 화성시 효행구 봉담읍 와우로73번길 22,아파트,5,350,49249.0,031-224-9667,효행구 도시건축과,031-5189-7709,2026-07-01
봉담코아루카보드줌시티,경기도 화성시 효행구 봉담읍 샘마을길 4-16,도시형생활주택,1,288,15280.0,031-548-0678,효행구 도시건축과,031-5189-7709,2026-07-01
봉담한신,경기도 화성시 효행구 봉담읍 샘마을길 24,아파트,5,617,65372.0,031-227-5948,효행구 도시건축과,031-5189-7709,2026-07-01
봉담한신더휴에듀파크,경기도 화성시 효행구 봉담읍 와우로 18,아파트,11,1140,154899.0,031-267-4467,효행구 도시건축과,031-5189-7709,2026-07-01
봉담휴먼빌,경기도 화성시 효행구 봉담읍 와우로 51,아파트,6,540,86013.0,031-898-6302,효행구 도시건축과,031-5189-7709,2026-07-01
수성효성,경기도 화성시 효행구 봉담읍 와우로15번길 55-5,아파트,1,266,24483.0,031-223-3751,효행구 도시건축과,031-5189-7709,2026-07-01
수정마을동남메리트,경기도 화성시 효행구 봉담읍 삼천병마로 1321-10,아파트,8,864,112312.0,031-227-7994,효행구 도시건축과,031-5189-7709,2026-07-01
양지마을쌍용예가,경기도 화성시 효행구 봉담읍 매송고색로422번길 57,아파트,9,490,78713.0,031-298-5652,효행구 도시건축과,031-5189-7709,2026-07-01
엘크루루엘리안,경기도 화성시 효행구 봉담읍 상리2길 121,아파트,5,456,55720.0,031-227-1233,효행구 도시건축과,031-5189-7709,2026-07-01
우방아이유쉘1단지,경기도 화성시 효행구 봉담읍 수영로 60-10,아파트,6,488,71815.0,031-293-0067,효행구 도시건축과,031-5189-7709,2026-07-01
우방아이유쉘2단지,경기도 화성시 효행구 봉담읍 수영로 61-7,아파트,6,351,51939.0,031-278-6717,효행구 도시건축과,031-5189-7709,2026-07-01
청운마을신안인스빌,경기도 화성시 효행구 봉담읍 삼천병마로 1256-20,아파트,6,632,79857.0,031-297-3604,효행구 도시건축과,031-5189-7709,2026-07-01
클래식타운,경기도 화성시 효행구 봉담읍 효행로 240,아파트,10,660,,031-224-5436,효행구 도시건축과,031-5189-7709,2026-07-01
화성동보,경기도 화성시 효행구 봉담읍 와우로34번길 48,아파트,1,299,11923.0,031-225-5131,효행구 도시건축과,031-5189-7709,2026-07-01
화성봉담2 중흥 S-클래스 더퍼스트,경기도 화성시 효행구 봉담읍 상리1길 21,아파트,10,784,131118.0,031-297-7701,효행구 도시건축과,031-5189-7709,2026-07-01
휴먼시아동화마을5단지,경기도 화성시 효행구 봉담읍 동화역말길 22,아파트,9,880,110753.0,031-278-7013,효행구 도시건축과,031-5189-7709,2026-07-01
휴먼시아동화마을6단지,경기도 화성시 효행구 봉담읍 동화길 122,아파트,8,736,91793.0,031-298-7311,효행구 도시건축과,031-5189-7709,2026-07-01
봉담 에듀시티 파라곤,경기도 화성시 효행구 봉담읍 동화서북안길 10,아파트,8,600,78716.0,031-235-0996,효행구 도시건축과,031-5189-7709,2026-07-01
봉담2지구 중흥에스클래스 더 센트럴,경기도 화성시 효행구 봉담읍 상리3길 160,아파트,10,824,126603.5,031-293-8834,효행구 도시건축과,031-5189-7709,2026-07-01
봉담2지구 중흥에스클래스 에듀파크,경기도 화성시 효행구 봉담읍 수영로 161,아파트,13,1050,169410.68,031-293-8806,효행구 도시건축과,031-5189-7709,2026-07-01
봉담 자이 라피네,경기도 화성시 효행구 봉담읍 동화서북안길 50,아파트,8,750,121533.62,031-8019-5015,효행구 도시건축과,031-5189-7709,2026-07-01
중흥에스클래스 에듀시티,경기도 화성시 효행구 봉담읍 상리1길 143,아파트,8,808,105423.97,031-278-9517,효행구 도시건축과,031-5189-7709,2026-07-01
중흥에스클래스 에듀포레,경기도 화성시 효행구 봉담읍 상리1길 167,아파트,9,707,133252.46,031-298-9067,효행구 도시건축과,031-5189-7709,2026-07-01
봉담 자이 프라이드시티,경기도 화성시 효행구 봉담읍 삼봉안길 30,아파트,11,1701,,031-8019-8074,효행구 도시건축과,031-5189-7709,2026-07-01
힐스테이트 봉담 프라이드시티,경기도 화성시 효행구 봉담읍 삼봉안길 76,아파트,17,2333,,031-278-9070,효행구 도시건축과,031-5189-7709,2026-07-01
봉담자이라젠느,경기도 화성시 효행구 봉담읍 동화서북안길 70,아파트,7,862,,031-546-2813,효행구 도시건축과,031-5189-7709,2026-07-01
중흥S-클래스 센트럴에듀,경기도 화성시 효행구 봉담읍 동화서북안길 51,아파트,9,806,,031-225-5003,효행구 도시건축과,031-5189-7709,2026-07-01
천산스카이빌,경기도 화성시 효행구 비봉면 비봉로 152,아파트,3,202,25067.0,031-356-8746,효행구 도시건축과,031-5189-7710,2026-07-01
비봉 호반 써밋,경기도 화성시 효행구 비봉면 새비봉서로 130,아파트,8,779,,031-357-1380,효행구 도시건축과,031-5189-7710,2026-07-01
우미린 더 퍼스트,경기도 화성시 효행구 비봉면 새비봉남로 39,아파트,7,798,,031-357-4910,효행구 도시건축과,031-5189-7710,2026-07-01
예미지 센트럴 에듀,경기도 화성시 효행구 비봉면 새비봉서로 20,아파트,10,917,,031-357-8910,효행구 도시건축과,031-5189-7710,2026-07-01
비봉 금강펜테리움,경기도 화성시 효행구 비봉면 새비봉서로1길 14,아파트,11,988,,031-356-2560,효행구 도시건축과,031-5189-7710,2026-07-01
동탄호수공원금강펜테리움센트럴파크2차,경기도 화성시 동탄구 동탄산척로 2길 56,아파트,10,908,,031-378-3656,동탄구 도시건축과,031-5189-5137,2026-07-01
그린힐반도유보라아이비파크100,경기도 화성시 동탄구 동탄순환대로12길 85,아파트,15,1241,,031-378-5760,동탄구 도시건축과,031-5189-5137,2026-07-01
더레이크파크뷰(더레이크씨티부영1단지),경기도 화성시 동탄구 동탄대로8길 91,아파트,7,641,,031-373-9064,동탄구 도시건축과,031-5189-5137,2026-07-01
동탄호수공원역 레이크시티(더레이크씨티부영6단지),경기도 화성시 동탄구 동탄대로6길 84,아파트,10,818,,031-373-9578,동탄구 도시건축과,031-5189-5137,2026-07-01
