순번,단지명,회사명,공장대표주소(지번 및 도로명주소),업종번호,업종명,전화번호
28,화성동탄일반산업단지,(주)대곤코퍼레이션,경기도 화성시 동탄구 동탄산단7길 98-27 (방교동),29299,그 외 기타 특수목적용 기계 제조업,02-6675-6610
29,화성동탄일반산업단지,(주)덕수산업,경기도 화성시 동탄구 동탄산단7길 98-7 (방교동),29193 ， 29271,반도체 제조용 기계 제조업 외 1 종,031-376-8503
30,화성동탄일반산업단지,(주)동광테크,경기도 화성시 동탄구 동탄산단5길 6 (방교동),29294,주형 및 금형 제조업,031-377-4374
31,화성동탄일반산업단지,(주)동부엘이디 ,"경기도 화성시 동탄구 동탄산단6길 53-24, 1,2,3,4층 (방교동)",26299,그 외 기타 전자부품 제조업,070-8874-1101
32,화성동탄일반산업단지,(주)동성정밀엘엑스,경기도 화성시 동탄구 동탄산단6길 87 (방교동),29271 ， 29272,반도체 제조용 기계 제조업 외 1 종,070-4366-1802
33,화성동탄일반산업단지,(주)동성테크,"경기도 화성시 동탄구 동탄산단4길 9-4, (동탄일반산업단지 17-6블록) (방교동)",26295 ， 26299,그 외 기타 전자부품 제조업 외 1 종,031-376-8828
34,화성동탄일반산업단지,(주)동양피엘티,경기도 화성시 동탄구 동탄산단8길 41,30391 ， 30392 ， 30399 ， 30400,그 외 자동차용 신품 부품 제조업 외 3 종,031-376-8881
35,화성동탄일반산업단지,(주)디아이씨,"경기도 화성시 동탄구 동탄산단6길 87,1동 (방교동)",29271,반도체 제조용 기계 제조업,031-353-0567
36,화성동탄일반산업단지,(주)디엔에이치테크,"경기도 화성시 동탄구 동탄산단6길 59, 201호(방교동)",13229,기타 직물제품 제조업,031-373-2389
37,화성동탄일반산업단지,(주)디와츠코리아,경기도 화성시 동탄구 동탄산단4길 9-13 (방교동),28122,전기회로 접속장치 제조업,
38,화성동탄일반산업단지,(주)디티에이치,경기도 화성시 동탄구 동부대로 814 (방교동) (주)동탄이엔지 1층,28902,전기용 탄소제품 및 절연제품 제조업,
39,화성동탄일반산업단지,(주)라모스테크놀러지,경기도 화성시 동탄구 동탄면 0번지 동탄일반산업단지 16-1B/L,26321,기억장치 제조업,031-899-7512
40,화성동탄일반산업단지,(주)라모스테크놀러지,경기도 화성시 동탄구 동탄산단4길 9-13 (방교동),26321,기억장치 제조업,031-899-7530
41,화성동탄일반산업단지,(주)렉스전자 ,경기도 화성시 동탄구 동탄산단6길 59 (방교동),29271,반도체 제조용 기계 제조업,031-378-3703
42,화성동탄일반산업단지,(주)로보케어,경기도 화성시 동탄구 동탄면 동탄산단6길 15-13 (방교동),29280,산업용 로봇 제조업,031-751-5200
43,화성동탄일반산업단지,(주)리모트글로벌,경기도 화성시 동탄구 동탄산단2길 50(방교동),26295,전자감지장치 제조업,031-378-9866
44,화성동탄일반산업단지,(주)마루라이팅 ,"경기도 화성시 동탄구 동탄산단6길 3, 4층(방교동)",28123 ， 28422 ， 28423 ， 28429,일반용 전기 조명장치 제조업 외 3 종,031-375-6611
45,화성동탄일반산업단지,(주)마르스,"경기도 화성시 동탄구 동탄산단2길 46, 2층 (방교동)",28111 ， 29142,전동기 및 발전기 제조업 외 1 종,031-8055-8655
46,화성동탄일반산업단지,(주)마스 ,경기도 화성시 동탄구 동탄산단2길 13 (방교동),29271,반도체 제조용 기계 제조업,031-236-3677
47,화성동탄일반산업단지,(주)마스터테크,경기도 화성시 동탄구 동탄산단6길 15-16 (방교동),26410 ， 26429 ， 29174 ， 31202 ， 31322,철도차량 부품 및 관련 장치물 제조업 외 4 종,031-376-1546
48,화성동탄일반산업단지,(주)메이,경기도 화성시 동탄구 동탄산단1길 45 (방교동) 2층 201호,29272,디스플레이 제조용 기계 제조업,031-8043-7848
49,화성동탄일반산업단지,(주)명치기계공업,경기도 화성시 동탄구 동탄산단2길 42 (방교동),29173 ， 29175,산업용 송풍기 및 배기장치 제조업 외 1 종,031-8015-4157
50,화성동탄일반산업단지,(주)모토벨로,경기도 화성시 동탄구 동탄산단9길 9-8 (방교동),29199,그 외 기타 일반목적용 기계 제조업,070-4949-0802
51,화성동탄일반산업단지,(주)미코,경기도 화성시 동탄구 동탄산단2길 68(방교동),26299 ， 29271,그 외 기타 전자부품 제조업 외 1 종,031-610-7925
52,화성동탄일반산업단지,(주)미코,경기도 화성시 동탄구 동탄산단2길 67(방교동),26299,그 외 기타 전자부품 제조업,031-610-7925
53,화성동탄일반산업단지,(주)발키다,경기도 화성시 동탄구 동탄산단7길 98-7(방교동),28422,일반용 전기 조명장치 제조업,050-6575-7973
54,화성동탄일반산업단지,(주)백산이엔지,경기도 화성시 동탄구 동탄산단6길 84 (방교동),29271,반도체 제조용 기계 제조업,031-377-0648
55,화성동탄일반산업단지,(주)밸류테크 ,경기도 화성시 동탄구 동탄기흥로 147-6(방교동),22249 ， 29271,기타 기계.장비 조립용 플라스틱 제품 제조업 외 1 종,031-8015-2826
56,화성동탄일반산업단지,(주)베스테크,경기도 화성시 동탄구 동탄산단5길 10-19 (방교동),29271,반도체 제조용 기계 제조업,031-352-5539
57,화성동탄일반산업단지,(주)베스텍,경기도 화성시 동탄구 동탄산단10길 53-9 (방교동),29221,전자 응용 절삭기계 제조업,031-8003-0206
58,화성동탄일반산업단지,(주)브로던,경기도 화성시 동탄구 동탄기흥로 32-5 (방교동),26429,기타 무선 통신장비 제조업,031-8055-2738
59,화성동탄일반산업단지,(주)비에스엘,"경기도 화성시 동탄구 동탄산단9길 9-21, 301, 302호(방교동, (주)이엠텍 동탄)",26299 ， 27112 ， 27192 ， 27199 ， 28519,정형외과용 및 신체보정용 기기 제조업 외 4 종,070-4030-6810
60,화성동탄일반산업단지,(주)비올디벨로퍼즈,경기도 화성시 동탄구 동탄기흥로 29 (방교동),26600 ， 28303,마그네틱 및 광학 매체 제조업 외 1 종,031-378-7200
61,화성동탄일반산업단지,(주)비와이텍,경기도 화성시 동탄구 동탄산단6길 70 (방교동),29271 ， 29272 ， 29280,반도체 제조용 기계 제조업 외 2 종,031-377-2301
62,화성동탄일반산업단지,(주)삼우엔지니어링,경기도 화성시 동탄구 동탄산단2길 56 (방교동),29261 ， 29299,그 외 기타 특수목적용 기계 제조업 외 1 종,031-376-6871
63,화성동탄일반산업단지,(주)삼윤,"경기도 화성시 동탄구 동탄산단6길 53-20, (동탄일반산업단지 12-4블록) (방교동)",29271,반도체 제조용 기계 제조업,031-377-5298
64,화성동탄일반산업단지,(주)삼정오토메이션,경기도 화성시 동탄구 동탄산단4길 9-34 (방교동),26295 ， 26299,그 외 기타 전자부품 제조업 외 1 종,031-469-3090
65,화성동탄일반산업단지,(주)삼진엘앤디,경기도 화성시 동탄구 동탄기흥로 64-17 (방교동),13229 ， 25113 ， 26211 ， 28410 ， 28422 ， 28429 ， 28903,액정 표시장치 제조업 외 6 종,031-379-2026
66,화성동탄일반산업단지,(주)센서뷰 ,경기도 화성시 동탄구 동탄기흥로 61 (방교동),26429,기타 무선 통신장비 제조업,02-2038-7765
67,화성동탄일반산업단지,(주)센서뷰 ,"경기도 화성시 동탄구 동탄기흥로 64-14, 1층 (방교동)",28302,기타 절연선 및 케이블 제조업,02-2308-7765
68,화성동탄일반산업단지,(주)셀코스 ,경기도 화성시 동탄구 동탄산단1길 45 (방교동) (주)셀코스 동탄공장,29271 ， 29272 ， 29299,반도체 제조용 기계 제조업 외 2 종,031-293-8180
69,화성동탄일반산업단지,(주)셀피아테크,"경기도 화성시 동탄구 동탄산단6길 53-40, (동탄일반산업단지 12-1블록) (방교동)",29271,반도체 제조용 기계 제조업,031-274-9717
70,화성동탄일반산업단지,(주)송도테크 ,경기도 화성시 동탄구 동탄산단5길 48 (방교동),25924,절삭가공 및 유사처리업,
71,화성동탄일반산업단지,(주)스카이물류,경기도 화성시 동탄구 동탄기흥로 152,30201 ， 30202,차체 및 특장차 제조업 외 1 종,031-376-0086
72,화성동탄일반산업단지,(주)스카이즈,"경기도 화성시 동탄구 동탄산단2길 46, 3층(방교동)",26219 ， 26329 ， 70121,기타 표시장치 제조업 외 2 종,070-4919-9026
73,화성동탄일반산업단지,(주)시노펙스,경기도 화성시 동탄구 동탄산단7길 104(방교동),13229 ， 26299 ， 27199 ， 29175,그 외 기타 의료용 기기 제조업 외 3 종,031-379-7777
74,화성동탄일반산업단지,(주)시스윈로보틱스,경기도 화성시 동탄구 동탄기흥로 64-4 (방교동),26322 ， 26410 ， 26429,컴퓨터 모니터 제조업 외 2 종,031-203-0923
75,화성동탄일반산업단지,(주)시스템알앤디,경기도 화성시 동탄구 동탄산단9길 23-6 (방교동),29271,반도체 제조용 기계 제조업,031-353-5237
76,화성동탄일반산업단지,(주)신전,경기도 화성시 동탄구 동탄산단4길 9-3 (방교동),26295 ， 26299,그 외 기타 전자부품 제조업 외 1 종,02-2264-7727
77,화성동탄일반산업단지,(주)신진에스엠 동탄지점,경기도 화성시 동탄구 동탄산단5길 10-16 (방교동),29223 ， 29271,금속 절삭기계 제조업 외 1 종,031-369-7425
78,화성동탄일반산업단지,(주)싸이맥스,경기도 화성시 동탄구 동탄산단2길 47 (방교동),27199 ， 29271,그 외 기타 의료용 기기 제조업 외 1 종,070-7732-5300
79,화성동탄일반산업단지,(주)씨브이,경기도 화성시 동탄구 동탄산단7길 116 (방교동),25123 ， 27213 ， 29171 ， 29299,산업용 냉장 및 냉동 장비 제조업 외 3 종,031-451-4053
80,화성동탄일반산업단지,(주)씨쓰리테크놀로지 ,경기도 화성시 동탄구 동탄기흥로 29 (방교동),28303,절연 코드세트 및 기타 도체 제조업,031-379-9356
81,화성동탄일반산업단지,(주)씨앤씨인터내셔널,경기도 화성시 동탄구 동탄산단5길 14 (방교동) 솔테크놀로지(주),20423,화장품 제조업,031-8006-1600
82,화성동탄일반산업단지,(주)씨엔원,경기도 화성시 동탄구 동탄산단7길 98-17 (방교동),29271,반도체 제조용 기계 제조업,070-4651-5331
83,화성동탄일반산업단지,(주)씨엠테크,"경기도 화성시 동탄구 동탄기흥로 11, (동탄일반산업단지 21-7블록) (방교동)",26295 ， 26299,그 외 기타 전자부품 제조업 외 1 종,031-222-2817
84,화성동탄일반산업단지,(주)씨케이피 ,경기도 화성시 동탄구 동탄산단7길 98-46 (방교동),29271 ， 29272,반도체 제조용 기계 제조업 외 1 종,031-372-2222
85,화성동탄일반산업단지,(주)아론테크,경기도 화성시 동탄구 동탄산단5길 10-31(방교동),29222,디지털 적층 성형기계 제조업,041-566-8478
86,화성동탄일반산업단지,(주)아모스,"경기도 화성시 동탄구 동탄산단5길 42(방교동, (주)아모스)",20423 ， 33920,사무 및 회화용품 제조업 외 1 종,031-376-0663
87,화성동탄일반산업단지,(주)아모스에듀,"경기도 화성시 동탄구 동탄산단5길 42(방교동, (주)아모스)",26310 ， 26429,기타 무선 통신장비 제조업 외 1 종,031-376-0740
88,화성동탄일반산업단지,(주)아이넥스엠에이티,경기도 화성시 동탄구 동부대로 780 (방교동),29271,반도체 제조용 기계 제조업,031-322-2800
89,화성동탄일반산업단지,(주)아이지에스,"경기도 화성시 동탄구 동탄산단6길 67, 4층(방교동)",29271,반도체 제조용 기계 제조업,031-372-7729
90,화성동탄일반산업단지,(주)아큐스 ,"경기도 화성시 동탄구 동탄산단2길 46,  (동탄일반산업단지 24-6,-7블록) (방교동)",29150 ， 29163 ， 29169 ， 29171 ， 29174 ， 29175 ， 29176 ， 29199 ， 29261 ， 29299,그 외 기타 일반목적용 기계 제조업 외 9 종,031-451-1820
91,화성동탄일반산업단지,(주)알엔투테크놀로지,경기도 화성시 동탄구 동탄산단9길 11 (방교동),28121 ， 28122,"전기회로 개폐, 보호장치 제조업 외 1 종",031-376-5400
92,화성동탄일반산업단지,(주)알토엔대우 ,"경기도 화성시 동탄구 동탄산단9길 23-7, (동탄일반산업단지 37-3,-5,-6블록) (방교동)",28520,가정용 비전기식 조리 및 난방 기구 제조업,070-4489-3971
93,화성동탄일반산업단지,(주)애거슨,"경기도 화성시 동탄구 동탄산단9길 12(방교동, (주)애거슨)",28123,배전반 및 전기 자동제어반 제조업,031-831-5778
94,화성동탄일반산업단지,(주)앤에스알시,경기도 화성시 동탄구 동탄산단6길 59(방교동),29271,반도체 제조용 기계 제조업,031-8043-3300
95,화성동탄일반산업단지,(주)에버텍엔터프라이즈,경기도 화성시 동탄구 동탄산단2길 7-9 (방교동),26299,그 외 기타 전자부품 제조업,031-718-3818
96,화성동탄일반산업단지,(주)에스디레이,경기도 화성시 동탄구 동탄산단8길 15-20 (방교동),18113 ， 18119 ， 18200,기록매체 복제업 외 2 종,031-371-9118
97,화성동탄일반산업단지,(주)에스디옵틱스,"경기도 화성시 동탄구 동탄산단2길 40, 동탄일반산업단지 24-9블록 (방교동)",27213 ， 27309,"물질 검사, 측정 및 분석기구 제조업 외 1 종",070-4694-4800
98,화성동탄일반산업단지,(주)에스알티,경기도 화성시 동탄구 동탄산단4길 9-16 (방교동),26329 ， 26410,유선 통신장비 제조업 외 1 종,031-378-8588
99,화성동탄일반산업단지,(주)에스에이치엔지니어링,경기도 화성시 동탄구 동부대로 814 (방교동) (주)동탄이엔지 1층,28902,전기용 탄소제품 및 절연제품 제조업,
100,화성동탄일반산업단지,(주)에스엠티코리아,경기도 화성시 동탄구 동탄산단2길 7-3 (방교동),26224,전자부품 실장기판 제조업,031-376-2401
101,화성동탄일반산업단지,(주)에스유아이씨티 ,"경기도 화성시 동탄구 동탄산단6길 67, 4층 (방교동)",26299 ， 26329 ， 26410 ， 26421 ， 26422 ， 26429 ， 26519 ， 28903,그 외 기타 전자부품 제조업 외 7 종,070-4219-5588
102,화성동탄일반산업단지,(주)에스프라임,"경기도 화성시 동탄구 동탄산단2길 7-16(방교동, (주)코메코INT, (주)에스프라임)",26329,기타 주변기기 제조업,031-378-7841
103,화성동탄일반산업단지,(주)에이디에스테크 ,경기도 화성시 동탄구 동탄산단8길 15-11 (방교동),26429,기타 무선 통신장비 제조업,031-5182-8000
104,화성동탄일반산업단지,(주)에이씨에스,경기도 화성시 동탄구 동탄산단7길 98-23 (방교동),29271,반도체 제조용 기계 제조업,031-222-4776
105,화성동탄일반산업단지,(주)에이엠텍,"경기도 화성시 동탄구 동탄산단5길 10-12, (동탄일반산업단지 8-8블록) (방교동)",29294,주형 및 금형 제조업,031-372-3975
106,화성동탄일반산업단지,(주)에이치씨테크,경기도 화성시 동탄구 동탄산단6길 77,29271,반도체 제조용 기계 제조업,031-378-7507
107,화성동탄일반산업단지,(주)에이치엔씨,경기도 화성시 동탄구 동탄산단8길 15-19 (방교동),28123,배전반 및 전기 자동제어반 제조업,031-372-2950
108,화성동탄일반산업단지,(주)에이치와이씨코리아,"경기도 화성시 동탄구 동탄산단7길 98-31, 1층, 2층, 4층, 5층(방교동)",29271 ， 29272,반도체 제조용 기계 제조업 외 1 종,031-373-1686
109,화성동탄일반산업단지,(주)에이텍솔루션,경기도 화성시 동탄구 동탄산단7길 100 (방교동),29271,반도체 제조용 기계 제조업,031-8015-2072
110,화성동탄일반산업단지,(주)에이피에스,경기도 화성시 동탄구 동탄산단9길 23-12 (방교동),29271,반도체 제조용 기계 제조업,031-776-1800
111,화성동탄일반산업단지,(주)에이피피,경기도 화성시 동탄구 동탄산단2길 7-12 (방교동),26212 ， 26299 ， 29271 ， 29272,그 외 기타 전자부품 제조업 외 3 종,031-373-5956
112,화성동탄일반산업단지,(주)에프에스티,경기도 화성시 동탄구 동탄산단6길 15-23 (방교동),29174 ， 29271 ， 35114,반도체 제조용 기계 제조업 외 2 종,031-370-0800
113,화성동탄일반산업단지,(주)에프에스티,경기도 화성시 동탄구 동탄산단10길 45 (방교동),26129 ， 29271,기타 반도체소자 제조업 외 1 종,031-371-2400
114,화성동탄일반산업단지,(주)에프에스티,경기도 화성시 동탄구 동부대로 788(방교동),29271,반도체 제조용 기계 제조업,031-371-2400
115,화성동탄일반산업단지,(주)에프엠에스코리아,"경기도 화성시 동탄구 동탄산단7길 98-12, (동탄일반산업단지 34-4블록) (방교동)",21300 ， 22299 ， 29261 ， 29299,그 외 기타 특수목적용 기계 제조업 외 3 종,031-266-1586
116,화성동탄일반산업단지,(주)엔에스티,"경기도 화성시 동탄구 동탄산단10길 70, (동탄일반산업단지 25-2블록) (방교동)",29271,반도체 제조용 기계 제조업,031-632-7375
117,화성동탄일반산업단지,(주)엔지온 화성사업장,경기도 화성시 동탄구 동탄산단8길 15-15 (방교동),29271,반도체 제조용 기계 제조업,031-378-5271
118,화성동탄일반산업단지,(주)엘케이엔지니어링,경기도 화성시 동탄구 동탄산단6길 53-37 (방교동),29271,반도체 제조용 기계 제조업,031-781-0673
119,화성동탄일반산업단지,(주)엠아이티시스템  ,경기도 화성시 동탄구 동탄면 방교리 835-9번지,29271,반도체 제조용 기계 제조업,031-319-6533
120,화성동탄일반산업단지,(주)엠에스티코퍼레이션 ,경기도 화성시 동탄구 동탄기흥로 147-12 (방교동),20412 ， 22249,기타 기계.장비 조립용 플라스틱 제품 제조업 외 1 종,070-5022-5750
121,화성동탄일반산업단지,(주)엠에이케이,경기도 화성시 동탄구 동탄산단5길 10-16 (방교동),27212 ， 28114 ， 28119 ， 28909 ， 29271,에너지 저장장치 제조업 외 4 종,031-373-4359
122,화성동탄일반산업단지,(주)엠투엔 전장사업부,경기도 화성시 동탄구 동탄산단2길 7-21 (방교동),26295 ， 26299,그 외 기타 전자부품 제조업 외 1 종,031-8003-3300
123,화성동탄일반산업단지,(주)영공 오산지점,경기도 화성시 동탄구 동탄산단3길 20-27 (방교동),25112,구조용 금속 판제품 및 공작물 제조업,031-373-8676
124,화성동탄일반산업단지,(주)예승이엔지,"경기도 화성시 동탄구 동탄산단7길 98-31, 1층, 2층, 4층(403호, 404호), 5층(방교동)",29229 ， 29271,반도체 제조용 기계 제조업 외 1 종,031-377-3106
125,화성동탄일반산업단지,(주)오메가텍 ,경기도 화성시 동탄구 동탄산단5길 48 (방교동),25924,절삭가공 및 유사처리업,070-8230-6633
126,화성동탄일반산업단지,(주)오엠티,경기도 화성시 동탄구 동탄산단10길 58 (방교동),29261 ， 29271 ， 29299,반도체 제조용 기계 제조업 외 2 종,031-376-7636
127,화성동탄일반산업단지,(주)와이케이신터링,경기도 화성시 동탄구 동탄산단7길 6(방교동),25911 ， 25999 ， 27216,분말 야금제품 제조업 외 2 종,043-272-5301
128,화성동탄일반산업단지,(주)우양코퍼레이션,경기도 화성시 동탄구 동탄산단5길 14 (방교동) 솔테크놀로지(주),28901,전기경보 및 신호장치 제조업,
129,화성동탄일반산업단지,(주)위드텍,경기도 화성시 동탄구 동탄산단10길 38 (방교동),29271,반도체 제조용 기계 제조업,042-936-7117
130,화성동탄일반산업단지,(주)유닉스엔지니어링,"경기도 화성시 동탄구 동탄산단7길 10, 2동(방교동)",29280,산업용 로봇 제조업,031-8050-0545
131,화성동탄일반산업단지,(주)유에스티,"경기도 화성시 동탄구 동탄산단2길 50, 1층, 2층, 3층 및 4층 일부(방교동, (주)유에스티 본사)",26329 ， 26410 ， 28519,유선 통신장비 제조업 외 2 종,031-786-1027
132,화성동탄일반산업단지,(주)유진메디케어,경기도 화성시 동탄구 동탄산단5길 54 (방교동),27199,그 외 기타 의료용 기기 제조업,031-375-1071
133,화성동탄일반산업단지,(주)이노베이스 동탄지점,경기도 화성시 동탄구 동부대로 816 (방교동) 외 1필지,25924,절삭가공 및 유사처리업,031-8058-1105
134,화성동탄일반산업단지,(주)이랜텍,경기도 화성시 동탄구 동탄기흥로 64-3 (방교동),26519,비디오 및 기타 영상기기 제조업,070-7098-8007
135,화성동탄일반산업단지,(주)이랜텍,경기도 화성시 동탄구 동부대로 807 (방교동),28114 ， 28202,에너지 저장장치 제조업 외 1 종,070-7098-8007
136,화성동탄일반산업단지,(주)이레에프에이,경기도 화성시 동탄구 동탄산단6길 61 (방교동),29271,반도체 제조용 기계 제조업,031-668-9688
137,화성동탄일반산업단지,(주)이에스티 ,경기도 화성시 동탄구 동탄산단6길 11 (방교동),25999 ， 29174,기체 여과기 제조업 외 1 종,032-679-0944
138,화성동탄일반산업단지,(주)이엔씨테크놀로지,"경기도 화성시 동탄구 동탄산단8길 47, 이엔씨테크놀로지(방교동)",29271 ， 29272,반도체 제조용 기계 제조업 외 1 종,031-8047-3300
139,화성동탄일반산업단지,(주)이엠텍 동탄 사업장,"경기도 화성시 동탄구 동탄산단9길 9-21, (동탄일반산업단지 36-4블록) (방교동)",26299 ， 27112 ， 27199 ， 28519 ， 28909,전기식 진단 및 요법 기기 제조업 외 4 종,070-4030-6825
140,화성동탄일반산업단지,(주)이젠,경기도 화성시 동탄구 동탄기흥로 61 (방교동),26299,그 외 기타 전자부품 제조업,031-452-6142
141,화성동탄일반산업단지,(주)이즈컨텍,"경기도 화성시 동탄구 동탄산단6길 74(방교동, (주)이즈컨텍)",29271,반도체 제조용 기계 제조업,031-0377-2581
142,화성동탄일반산업단지,(주)인터텍,경기도 화성시 동탄구 동탄기흥로 15 (방교동),26295 ， 26299,그 외 기타 전자부품 제조업 외 1 종,070-8633-8946
143,화성동탄일반산업단지,(주)일진정공,경기도 화성시 동탄구 동탄기흥로 152 (방교동),30201 ， 30202,차체 및 특장차 제조업 외 1 종,031-376-9012
144,화성동탄일반산업단지,(주)자비스 ,경기도 화성시 동탄구 동탄산단9길 9-7(방교동),27111,방사선 장치 제조업,031-740-3814
145,화성동탄일반산업단지,(주)제너럴도크,경기도 화성시 동탄구 동부대로 807 (방교동),25995 ， 25999,그 외 기타 분류 안된 금속 가공 제품 제조업 외 1 종,031-497-6780
146,화성동탄일반산업단지,(주)제너코트,"경기도 화성시 동탄구 동탄산단7길 14, (동탄일반산업단지 6-2블록) (방교동)",25911,분말 야금제품 제조업,031-373-1380
147,화성동탄일반산업단지,(주)제이오션,경기도 화성시 동탄구 동탄산단7길 98-46 (방교동),29271,반도체 제조용 기계 제조업,070-8228-7093
148,화성동탄일반산업단지,(주)제이케이시스템즈 ,경기도 화성시 동탄구 동탄기흥로 152 (방교동),30122 ， 30332,화물자동차 및 특수목적용 자동차 제조업 외 1 종,031-376-3729
149,화성동탄일반산업단지,(주)조인솔루션,경기도 화성시 동탄구 동탄산단6길 53-30 (방교동),29271,반도체 제조용 기계 제조업,031-378-3911
150,화성동탄일반산업단지,(주)지알테크 ,경기도 화성시 동탄구 동탄산단5길 10-5 (방교동),28114 ， 28302,에너지 저장장치 제조업 외 1 종,031-377-0388
